Country	Sector	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Albania	Agriculture, forestry and fishing	863.60	928.30	946.60	1009.30	1105.70	1137.00	1170.00	1263.00	1396.90	1355.50	1491.40	1559.70	1676.20	1824.50	1927.60	1938.30	2076.80	2128.10	2332.00	2527.50	2516.20	2712.20	3068.80	3536.50	3863.10
Albania	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	25.70	34.50	29.40	31.00	48.20	66.90	71.90	95.10	113.70	127.10	154.10	155.70	125.10	126.30	160.90	167.40	188.90	203.80	216.60	190.30	184.10	225.40	303.20	394.00	480.20
Albania	Construction	535.00	769.10	936.60	972.20	1130.20	1240.20	1383.50	1577.50	1762.60	1617.70	1438.40	1457.60	1350.30	1268.90	1148.20	1219.00	1257.70	1412.20	1529.20	1568.80	1629.60	1745.40	2090.40	2530.50	2980.90
Albania	Financial and insurance activities	52.10	65.00	63.60	78.40	96.10	139.30	151.20	186.70	245.90	204.60	214.00	237.10	229.70	216.70	217.40	244.20	215.20	241.10	237.80	242.30	214.70	249.80	286.20	355.10	411.20
Albania	Industry (except construction)	310.40	337.90	320.00	407.90	521.50	628.10	690.00	746.20	824.50	828.00	1066.50	1055.50	1070.80	1190.20	1239.40	1312.20	1328.30	1289.60	1562.70	1627.50	1510.40	1674.20	2069.80	2502.40	2619.50
Albania	Information and communication	59.70	96.90	110.50	121.10	162.10	186.00	205.10	247.30	274.20	259.40	212.10	206.60	204.90	185.10	193.40	212.50	243.30	260.80	262.70	302.00	306.60	353.60	438.40	533.30	568.20
Albania	Professional, scientific and technical activities; administrative and support service activities	58.10	72.60	94.00	94.70	113.60	127.30	184.00	221.10	247.60	260.50	259.60	279.30	384.80	438.00	531.80	587.90	645.30	741.40	837.00	943.80	851.20	935.00	1205.10	1535.10	1815.20
Albania	Public administration, defence, education, human health and social work activities	291.50	373.30	413.10	447.10	521.30	583.10	625.00	671.80	768.40	827.50	867.00	922.00	979.80	1018.80	1037.50	1073.90	1127.40	1285.70	1406.20	1538.90	1592.60	1817.30	1988.90	2459.00	2902.30
Albania	Real estate activities	257.60	297.10	306.30	314.80	366.80	408.30	443.00	474.50	516.10	493.60	477.70	481.10	494.90	533.00	508.50	523.10	559.00	625.10	694.80	757.20	775.30	845.10	935.50	1074.30	1237.90
Albania	Total - all NACE activities	3348.70	3950.70	4160.70	4381.80	5113.70	5687.60	6175.40	6883.60	7704.60	7527.80	7762.80	8012.80	8242.80	8393.50	8589.50	8902.70	9370.40	10075.20	11203.10	12050.00	11773.50	13033.80	15594.30	18927.20	21636.30
Albania	Wholesale and retail trade, transport, accommodation and food service activities	895.20	976.00	940.40	905.20	1048.20	1171.50	1251.70	1400.40	1554.50	1553.70	1582.10	1658.30	1726.50	1591.90	1624.70	1624.10	1728.60	1887.40	2123.90	2351.70	2192.90	2475.80	3208.00	4007.10	4757.90
Austria	Agriculture, forestry and fishing	3549.10	3747.50	3583.90	3428.00	3591.70	3236.20	3530.30	4125.80	4042.20	3368.20	3801.70	4503.30	4488.20	4104.30	4210.80	3912.20	4087.60	4407.20	4250.50	4133.70	4074.70	4939.50	6159.00	6137.60	5920.40
